Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"002236","ZHEJIANG DAHUA TECHNOLOGY LTD A","Equity","0.01","2.85","2,684,229.00","7,651,266.30","7,651,266.30","Information Technology","BD5CNJ1","CNE100000BJ4","Shenzhen Stock Exchange","China","USD","CNY","6.98"
"601225","SHAANXI COAL INDUSTRY LTD A","Equity","0.01","1.17","6,542,054.00","7,655,219.01","7,655,219.01","Energy","BS7K5P8","CNE100001T64","Shanghai Stock Exchange","China","USD","CNY","6.98"
"1958","BAIC MOTOR CORP LTD H","Equity","0.01","0.52","14,778,500.00","7,646,511.36","7,646,511.36","Consumer Discretionary","BTF8BT7","CNE100001TJ4","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"IPCALAB","IPCA LABORATORIES LTD","Equity","0.01","20.55","372,249.00","7,648,885.96","7,648,885.96","Health Care","6433473","INE571A01020","National Stock Exchange Of India","India","USD","INR","73.30"
"SPALI.R","SUPALAI NON-VOTING DR PCL","Equity","0.01","0.52","14,757,600.00","7,627,996.83","7,627,996.83","Real Estate","6554749","TH0371010R13","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"6158","ZHENRO PROPERTIES GROUP LTD","Equity","0.01","0.64","11,857,000.00","7,599,956.24","7,599,956.24","Real Estate","BDRHD05","KYG9897E1098","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"ENTEL","EMPRESA NACIONAL DE TELECOMUNICACI","Equity","0.01","5.47","1,387,966.00","7,589,320.61","7,589,320.61","Communication","2297628","CLP371151059","Santiago Stock Exchange","Chile","USD","CLP","804.69"
"240810","WONIK IPS LTD","Equity","0.01","27.36","277,195.00","7,583,264.87","7,583,264.87","Information Technology","BZ8TP86","KR7240810002","Korea Exchange (Kosdaq)","Korea (South)","USD","KRW","1,195.30"
"IRPC.R","IRPC NON-VOTING DR PCL","Equity","0.01","0.07","103,029,700.00","7,579,797.18","7,579,797.18","Energy","6366171","TH0471010R11","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"601933","YONGHUI SUPERSTORES LTD A","Equity","0.01","1.31","5,792,696.00","7,579,735.52","7,579,735.52","Consumer Staples","BP3R5Q3","CNE100000XX9","Shanghai Stock Exchange","China","USD","CNY","6.98"
"5904","POYA LTD","Equity","0.01","15.93","475,447.00","7,572,174.26","7,572,174.26","Consumer Discretionary","6541826","TW0005904007","Gretai Securities Market","Taiwan","USD","TWD","30.01"
"410","SOHO CHINA LTD","Equity","0.01","0.37","20,630,000.00","7,567,475.38","7,567,475.38","Real Estate","B27WLD2","KYG826001003","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"012450","HANWHA AEROSPACE LTD","Equity","0.01","23.22","325,987.00","7,568,091.07","7,568,091.07","Industrials","6772671","KR7012450003","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"008560","MERITZ SECURITIES LTD","Equity","0.01","2.91","2,601,141.00","7,562,088.99","7,562,088.99","Financials","6408299","KR7008560005","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"082270","GEMVAX & KAEL LTD","Equity","0.01","24.55","307,718.00","7,555,863.21","7,555,863.21","Information Technology","B09CF34","KR7082270000","Korea Exchange (Kosdaq)","Korea (South)","USD","KRW","1,195.30"
"000990","DB HITEK LTD","Equity","0.01","21.08","358,576.00","7,559,704.84","7,559,704.84","Information Technology","6407757","KR7000990002","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"2458","ELAN MICROELECTRONICS CORP","Equity","0.01","2.89","2,614,100.00","7,542,766.80","7,542,766.80","Information Technology","6241513","TW0002458007","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"2504","GOLDSUN BUILDING MATERIALS LTD","Equity","0.01","0.45","16,866,000.00","7,530,216.91","7,530,216.91","Materials","6375564","TW0002504008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"003490","KOREAN AIR LINES LTD","Equity","0.01","18.74","400,098.00","7,497,862.63","7,497,862.63","Industrials","6496766","KR7003490000","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"GODREJPROP","GODREJ PROPERTIES LTD","Equity","0.01","13.64","548,642.00","7,485,513.59","7,485,513.59","Real Estate","BGQL729","INE484J01027","National Stock Exchange Of India","India","USD","INR","73.30"
"9945","RUENTEX DEVELOPMENT LTD","Equity","0.01","1.39","5,383,391.00","7,470,703.87","7,470,703.87","Real Estate","6748423","TW0009945006","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"2727","SHANGHAI ELECTRIC GROUP LTD H","Equity","0.01","0.29","25,744,000.00","7,455,306.00","7,455,306.00","Industrials","B07J656","CNE100000437","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
